"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.2",,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Börner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,https://doi.org/10.48539/HBM858.DNFV.736,,,,,
Date:,5/6/2022,,,,,
Version Number:,v1.2,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFAllenBrain,#VHFemaleOrgans,Allen_postcentral_gyrus_L,postcentral gyrus,UBERON:0002581,http://purl.obolibrary.org/obo/UBERON_0002581,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraparietal_lobule_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supramarginal_gyrus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_angular_gyrus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_precuneus_L,precuneus cortex,UBERON:0006093,http://purl.obolibrary.org/obo/UBERON_0006093,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_caudal_part_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_temporal_gyrus_L,superior temporal gyrus,UBERON:0002769,http://purl.obolibrary.org/obo/UBERON_0002769,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_temporal_gyrus_L,middle temporal gyrus,UBERON:0002771,http://purl.obolibrary.org/obo/UBERON_0002771,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_temporal_gyrus_L,inferior temporal gyrus,UBERON:0002751,http://purl.obolibrary.org/obo/UBERON_0002751,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,-,-,-,Allen_F_Brain
